City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
434,434,mount pearl,47.5166,-52.7813,18.58,65,40,6.17,CA,1696167591
435,435,gizo,-8.103,156.8419,26.99,84,99,7.7,SB,1696167591
436,436,bafoulabe,13.8065,-10.8321,34.64,50,58,1.36,ML,1696167592
437,437,bowling green,36.9903,-86.4436,19.19,89,0,0.0,US,1696167592
438,438,mar del plata,-38.0023,-57.5575,13.94,88,100,3.09,AR,1696167397
439,439,dhidhdhoo,6.8833,73.1,27.47,78,100,5.82,MV,1696167592
440,440,kencong,-8.2833,113.3667,22.92,90,6,0.94,ID,1696167592
441,441,maridi,4.9158,29.4742,29.78,56,82,1.85,SS,1696167592
442,442,eenhana,-17.4667,16.3333,38.47,7,0,3.23,,1696167593
443,443,tralee,52.2704,-9.7026,18.14,68,20,4.12,IE,1696167593
444,444,magadan,59.5667,150.8,7.68,86,100,1.34,RU,1696167470
445,445,hafar al-batin,28.4328,45.9708,39.32,10,0,2.57,SA,1696167593
446,446,palmares do sul,-30.2578,-50.5097,16.79,60,22,2.89,BR,1696167593
447,447,katima mulilo,-17.5,24.2667,39.31,10,6,4.01,,1696167594
448,448,goure,13.9835,10.2704,25.34,67,100,5.5,NE,1696167594
449,449,dalbandin,28.8947,64.4101,27.53,11,0,2.75,PK,1696167594
450,450,okhotsk,59.3833,143.3,7.29,77,100,1.89,RU,1696167594
451,451,puerto carreno,6.189,-67.4859,26.99,89,20,2.06,CO,1696167595
452,452,kodinsk,58.6881,99.1844,2.47,67,97,4.67,RU,1696167595
453,453,tshikapa,-6.4167,20.8,34.96,37,81,1.68,CD,1696167595
454,454,kapa'a,22.0752,-159.319,25.18,84,20,5.66,US,1696167595
455,455,puerto escondido,15.85,-97.0667,26.46,65,75,0.0,MX,1696167595
456,456,oranjestad,12.524,-70.027,30.97,70,20,5.14,AW,1696167333
457,457,galle,6.0367,80.217,25.87,85,83,2.38,LK,1696167596
458,458,rawson,-43.3002,-65.1023,17.96,33,100,7.31,AR,1696167596
459,459,papao,-17.75,-149.55,23.82,82,4,9.95,PF,1696167596
460,460,la sarre,48.8002,-79.1996,16.44,78,34,1.23,CA,1696167428
461,461,ceerigaabo,10.6162,47.368,24.14,23,1,6.51,SO,1696167597
462,462,gela,37.0803,14.2307,33.3,55,5,4.88,IT,1696167597
463,463,kamiiso,41.8167,140.65,14.34,86,3,3.75,JP,1696167597
464,464,el granada,37.5027,-122.4694,14.38,92,0,2.06,US,1696167597
465,465,robertsport,6.7533,-11.3686,27.33,81,100,3.76,LR,1696167597
466,466,campo gallo,-26.5833,-62.85,25.51,33,0,2.97,AR,1696167598
467,467,linfen,36.0889,111.5189,16.54,61,100,2.4,CN,1696167598
